,frequency
aba,1
abandon,1
abe,2
able,1
acb,1
according,1
account,1
act,1
acting,2
action,2
activist,1
activists,1
actually,2
adamssakick,1
address,1
admin,3
administration,4
admits,1
advi,1
adviser,1
advisers,1
advisors,1
affordable,1
ag,1
agenda,1
ago,2
agra,1
agree,6
agreed,3
agreeing,1
aides,1
airline,1
albertsteinii,1
albuquerque,1
alec,1
alert,1
aliens,1
aliostad,1
allies,1
allow,1
allowed,1
america,5
american,9
americans,14
amerika,1
amp,6
amyloukingery,1
analyst,1
anatmcl,1
angel,1
angeles,1
angelicd,1
anger,5
anglers,1
anglo,1
anne,1
annivesary,1
anonymousw,1
answ,1
anthony,1
anti,1
antisemitism,1
aoaib,1
apart,1
apologized,3
appeals,10
appear,1
appoin,1
appointee,1
appointing,1
approval,2
approve,1
april,2
ar,2
arabia,1
architect,1
arctic,73
area,1
arent,1
arizona,1
arkansas,1
armour,2
arms,1
article,1
articulated,1
ask,1
asked,1
asking,1
asnakeofjuly,1
ass,1
assaults,1
asset,4
assholes,3
assistance,1
atheistwwonka,1
ating,1
atl,1
atlanta,1
atlantic,1
attack,2
attacks,1
attempt,1
augusta,1
auspol,1
australia,2
author,1
authority,3
authorized,1
autocratic,1
avenue,1
avuxeni,1
away,3
awesome,1
awqwjhze,1
az,2
azar,1
b,1
baby,1
bach,1
backed,1
badbadzoot,1
balan,1
baldwin,1
ban,11
banning,6
barrels,1
barril,1
barriles,1
based,1
bashing,1
basket,1
batman,2
beach,1
beaches,1
bearcub,1
beast,1
beautiful,1
belief,1
bellsan,1
benghazi,1
benjamin,3
bent,1
best,2
betsy,1
bewildered,1
bgtxydifa,1
bid,1
biden,7
big,2
billionaires,1
bills,1
billschmittiii,1
bipartisan,1
blame,2
blamed,1
bless,1
block,1
blocked,6
blocking,1
blood,1
blow,1
blumenthal,1
bolajiarab,1
boos,1
borders,1
boston,1
bot,1
boycott,3
boycottamazon,1
bracud,1
branding,1
brands,1
brave,1
brazil,1
break,1
breaking,9
brianhammar,1
britain,12
broham,1
brownsville,1
brucemhicks,1
bryn,1
bsafunds,1
bubble,1
build,1
buildings,1
busy,1
buy,1
buyerbewarebaby,1
c,2
ca,1
cabinet,3
california,3
called,5
calling,1
calls,4
calm,1
campaign,2
canada,8
cancer,1
cand,1
captain,3
capture,1
caputo,1
care,1
carolina,1
cart,1
cartoons,1
cases,1
casperventer,1
catches,1
cause,1
cbs,1
ccot,1
center,1
ceo,1
ceos,1
cfrwayne,1
chaffetz,1
chaffetztownhall,1
chain,1
change,1
channel,1
chdt,1
checks,1
chelsea,1
chicago,5
chief,1
children,1
china,11
chinese,1
chloroquine,1
chris,1
christo,1
ciaodolce,1
circuit,10
civil,2
claim,1
classic,1
cleanwater,1
clear,4
clinton,2
closed,1
closing,1
clothing,2
cnn,3
cobrar,1
coleby,1
collect,1
collins,1
colours,1
coma,1
come,4
coming,3
comment,2
comments,4
commits,1
committees,1
commons,1
commonwealth,1
community,1
complain,1
complete,1
complications,1
comradebloom,1
conceptgrp,1
conference,1
confirmed,1
congress,7
connellycs,1
conservative,1
consider,1
considers,1
constitutional,1
conversations,1
convincingly,1
conway,4
coordinates,1
cops,1
cornellierdonn,1
coron,1
corona,1
coronavirus,6
costly,1
couldovfooledme,1
country,6
course,1
court,28
courts,1
covi,1
covid,6
cqgtagyjh,1
creator,1
crime,1
criticism,1
critiques,1
croatia,1
crozi,1
crozier,2
cuando,1
cuenta,1
cured,1
currently,1
curry,2
cut,2
d,1
daaham,1
dagelijks,1
daherlou,1
daily,1
dallas,1
damn,1
dan,1
danger,1
dangerous,1
daphnebinulski,1
darodi,1
dat,1
date,1
daved,1
davidkinneytu,1
davidreveal,1
dawkins,1
dawn,1
